ano,municipio,pibpc
2010,Esmeralda,  29.350 
2010,Esperança do Sul,  10.924 
2010,Espumoso,  19.189 
2010,Estação,  17.779 
2010,Estância Velha,  20.901 
2010,Esteio,  25.989 
2010,Estrela,  27.888 
2010,Estrela Velha,  17.802 
2010,Eugênio de Castro,  32.861 
2010,Fagundes Varela,  15.821 
2010,Farroupilha,  29.128 
2010,Faxinal do Soturno,  14.708 
2010,Faxinalzinho,  11.174 
2010,Fazenda Vilanova,  31.686 
2010,Feliz,  18.671 
2010,Flores da Cunha,  27.519 
2010,Floriano Peixoto,  15.461 
2010,Fontoura Xavier,  9.341 
2010,Formigueiro,  12.083 
2010,Forquetinha,  15.576 
2010,Fortaleza dos Valos,  24.772 
2010,Frederico Westphalen,  21.510 
2010,Garibaldi,  33.034 
2010,Garruchos,  18.630 
2010,Gaurama,  16.788 
2010,General Câmara,  11.355 
2010,Gentil,  29.358 
2010,Getúlio Vargas,  18.013 
2010,Giruá,  22.086 
2010,Glorinha,  42.372 
2010,Gramado,  27.988 
2010,Gramado dos Loureiros,  10.463 
2010,Gramado Xavier,  10.012 
2010,Gravataí,  28.526 
2010,Guabiju,  19.563 
2010,Guaíba,  30.563 
2010,Guaporé,  18.690 
2010,Guarani das Missões,  19.644 
2010,Harmonia,  15.187 
2010,Herveiras,  11.770 
2010,Horizontina,  48.657 
2010,Hulha Negra,  11.996 
2010,Humaitá,  16.186 
2010,Ibarama,  10.445 
2010,Ibiaçá,  21.123 
2010,Ibiraiaras,  18.548 
2010,Ibirapuitã,  12.804 
2010,Ibirubá,  26.192 
2010,Igrejinha,  32.236 
2010,Ijuí,  20.617 
2010,Ilópolis,  14.895 
2010,Imbé,  14.211 
2010,Imigrante,  36.283 
2010,Independência,  15.681 
2010,Inhacorá,  13.960 
2010,Ipê,  18.141 
2010,Ipiranga do Sul,  26.331 
2010,Iraí,  9.575 
2010,Itaara,  9.988 
2010,Itacurubi,  13.151 
2010,Itapuca,  12.523 
2010,Itaqui,  17.967 
2010,Itati,  13.364 
2010,Itatiba do Sul,  8.879 
2010,Ivorá,  14.819 
2010,Ivoti,  25.557 
2010,Jaboticaba,  13.811 
2010,Jacuizinho,  15.516 
2010,Jacutinga,  18.891 
2010,Jaguarão,  11.743 
2010,Jaguari,  11.965 
2010,Jaquirana,  9.556 
2010,Jari,  20.908 
2010,Jóia,  24.632 
2010,Júlio de Castilhos,  20.912 
2010,Lagoa Bonita do Sul,  11.157 
2010,Lagoão,  8.613 
2010,Lagoa dos Três Cantos,  25.361 
2010,Lagoa Vermelha,  19.918 
2010,Lajeado,  29.642 
2010,Lajeado do Bugre,  9.514 
2010,Lavras do Sul,  15.655 
2010,Liberato Salzano,  9.725 
2010,Lindolfo Collor,  30.352 
2010,Linha Nova,  15.005 
2010,Machadinho,  13.482 
2010,Maçambará,  26.164 
2010,Mampituba,  8.181 
2010,Manoel Viana,  14.262 
2010,Maquiné,  8.337 
2010,Maratá,  21.280 
2010,Marau,  30.327 
2010,Marcelino Ramos,  11.438 
2010,Mariana Pimentel,  10.635 
2010,Mariano Moro,  11.614 
2010,Marques de Souza,  11.128 
2010,Mata,  9.910 
2010,Mato Castelhano,  21.215 
2010,Mato Leitão,  24.632 
2010,Mato Queimado,  15.366 
2010,Maximiliano de Almeida,  11.940 
2010,Minas do Leão,  11.298 
2010,Miraguaí,  11.354 
2010,Montauri,  21.986 
2010,Monte Alegre dos Campos,  10.065 
2010,Monte Belo do Sul,  27.744 
2010,Montenegro,  30.974 
2010,Mormaço,  16.951 
2010,Morrinhos do Sul,  11.225 
2010,Morro Redondo,  9.640 
2010,Morro Reuter,  16.014 
2010,Mostardas,  16.502 
2010,Muçum,  39.126 
2010,Muitos Capões,  76.556 
2010,Muliterno,  15.047 
2010,Não-Me-Toque,  38.807 
2010,Nicolau Vergueiro,  25.433 
2010,Nonoai,  15.330 
2010,Nova Alvorada,  22.079 
2010,Nova Araçá,  34.763 
2010,Nova Bassano,  48.553 
2010,Nova Boa Vista,  17.235 
2010,Nova Bréscia,  17.978 
2010,Nova Candelária,  23.120 
2010,Nova Esperança do Sul,  18.822 
2010,Nova Hartz,  31.642 
2010,Nova Pádua,  16.018 
2010,Nova Palma,  17.680 
2010,Nova Petrópolis,  21.093 
2010,Nova Prata,  30.310 
2010,Nova Ramada,  19.911 
2010,Nova Roma do Sul,  19.517 
2010,Nova Santa Rita,  23.093 
2010,Novo Cabrais,  11.605 
2010,Novo Hamburgo,  23.162 
2010,Novo Machado,  14.290 
2010,Novo Tiradentes,  10.994 
2010,Novo Xingu,  14.776 
2010,Novo Barreiro,  10.665 
2010,Osório,  30.264 
2010,Paim Filho,  15.427 
2010,Palmares do Sul,  16.242 
2010,Palmeira das Missões,  18.716 
2010,Palmitinho,  11.444 
2010,Panambi,  28.900 
2010,Pantano Grande,  15.991 
2010,Paraí,  21.070 
2010,Paraíso do Sul,  10.957 
2010,Pareci Novo,  14.196 
2010,Parobé,  14.172 
2010,Passa Sete,  9.771 
2010,Passo do Sobrado,  15.286 
2010,Passo Fundo,  21.116 
2010,Paulo Bento,  21.230 
2010,Paverama,  10.858 
2010,Pedras Altas,  17.725 
2010,Pedro Osório,  13.508 
2010,Pejuçara,  29.881 
2010,Pelotas,  12.899 
2010,Picada Café,  46.114 
2010,Pinhal,  14.218 
2010,Pinhal da Serra,  150.002 
2010,Pinhal Grande,  75.739 
2010,Pinheirinho do Vale,  9.976 
2010,Pinheiro Machado,  12.567 
2010,Pirapó,  10.288 
2010,Piratini,  9.186 
2010,Planalto,  9.328 
2010,Poço das Antas,  13.284 
2010,Pontão,  28.721 
2010,Ponte Preta,  14.894 
2010,Portão,  24.664 
2010,Porto Alegre,  30.303 
2010,Porto Lucena,  9.952 
2010,Porto Mauá,  10.947 
2010,Porto Vera Cruz,  9.918 
2010,Porto Xavier,  8.879 
2010,Pouso Novo,  15.357 
2010,Presidente Lucena,  14.167 
2010,Progresso,  11.148 
2010,Protásio Alves,  13.596 
2010,Putinga,  12.900 
2010,Quaraí,  10.500 
2010,Quatro Irmãos,  26.985 
2010,Quevedos,  21.589 
2010,Quinze de Novembro,  20.016 
2010,Redentora,  6.698 
2010,Relvado,  14.332 
2010,Restinga Seca,  12.571 
2010,Rio dos Índios,  10.998 
2010,Rio Grande,  26.074 
2010,Rio Pardo,  11.679 
2010,Riozinho,  16.719 
2010,Roca Sales,  19.801 
2010,Rodeio Bonito,  12.768 
2010,Rolador,  17.472 
2010,Rolante,  15.256 
2010,Ronda Alta,  15.251 
2010,Rondinha,  15.566 
2010,Roque Gonzales,  11.057 
2010,Rosário do Sul,  13.110 
2010,Sagrada Família,  9.775 
2010,Saldanha Marinho,  22.555 
2010,Salto do Jacuí,  36.906 
2010,Salvador das Missões,  22.323 
2010,Salvador do Sul,  25.151 
2010,Sananduva,  18.118 
2010,Santa Bárbara do Sul,  29.815 
2010,Santa Cecília do Sul,  21.231 
2010,Santa Clara do Sul,  15.894 
2010,Santa Cruz do Sul,  35.309 
2010,Santa Maria,  15.349 
2010,Santa Maria do Herval,  20.476 
2010,Santa Margarida do Sul,  38.767 
2010,Santana da Boa Vista,  8.963 
2010,Sant'Ana do Livramento,  10.591 
2010,Santa Rosa,  21.670 
2010,Santa Tereza,  13.682 
2010,Santa Vitória do Palmar,  14.543 
2010,Santiago,  11.157 
2010,Santo Ângelo,  15.779 
2010,Santo Antônio do Palma,  16.818 
2010,Santo Antônio da Patrulha,  14.444 
2010,Santo Antônio das Missões,  13.347 
2010,Santo Antônio do Planalto,  26.704 
2010,Santo Augusto,  17.512 
2010,Santo Cristo,  19.092 
2010,Santo Expedito do Sul,  14.221 
2010,São Borja,  15.930 
2010,São Domingos do Sul,  11.479 
2010,São Francisco de Assis,  9.805 
2010,São Francisco de Paula,  15.875 
2010,São Gabriel,  16.477 
2010,São Jerônimo,  15.664 
2010,São João da Urtiga,  12.985 
2010,São João do Polêsine,  11.363 
2010,São Jorge,  15.763 
2010,São José das Missões,  11.350 
2010,São José do Herval,  11.990 
2010,São José do Hortêncio,  18.865 
2010,São José do Inhacorá,  17.176 
2010,São José do Norte,  8.049 
2010,São José do Ouro,  22.928 
2010,São José do Sul,  14.634 
2010,São José dos Ausentes,  18.386 
2010,São Leopoldo,  20.799 
2010,São Lourenço do Sul,  11.255 
2010,São Luiz Gonzaga,  15.133 
2010,São Marcos,  20.310 
2010,São Martinho,  16.448 
2010,São Martinho da Serra,  22.595 
2010,São Miguel das Missões,  25.565 
2010,São Nicolau,  10.504 
2010,São Paulo das Missões,  11.833 
2010,São Pedro da Serra,  9.965 
2010,São Pedro das Missões,  12.789 
2010,São Pedro do Butiá,  17.337 
2010,São Pedro do Sul,  11.170 
2010,São Sebastião do Caí,  17.762 
2010,São Sepé,  13.820 
2010,São Valentim,  15.618 
2010,São Valentim do Sul,  17.772 
2010,São Valério do Sul,  10.308 
2010,São Vendelino,  16.532 
2010,São Vicente do Sul,  12.062 
2010,Sapiranga,  20.951 
2010,Sapucaia do Sul,  17.122 
2010,Sarandi,  21.100 
2010,Seberi,  13.956 
2010,Sede Nova,  16.560 
2010,Segredo,  10.294 
2010,Selbach,  24.026 
2010,Senador Salgado Filho,  15.328 
2010,Sentinela do Sul,  9.049 
2010,Serafina Corrêa,  25.565 
2010,Sério,  11.073 
2010,Sertão,  20.627 
2010,Sertão Santana,  13.899 
2010,Sete de Setembro,  16.194 
2010,Severiano de Almeida,  13.299 
2010,Silveira Martins,  10.230 
2010,Sinimbu,  10.998 
2010,Sobradinho,  15.314 
2010,Soledade,  12.082 
2010,Tabaí,  11.185 
2010,Tapejara,  22.314 
2010,Tapera,  24.621 
2010,Tapes,  12.409 
2010,Taquara,  14.165 
2010,Taquari,  16.258 
2010,Taquaruçu do Sul,  13.123 
2010,Tavares,  10.232 
2010,Tenente Portela,  11.905 
2010,Terra de Areia,  8.987 
2010,Teutônia,  25.579 
2010,Tio Hugo,  19.862 
2010,Tiradentes do Sul,  9.227 
2010,Toropi,  11.008 
2010,Torres,  14.583 
2010,Tramandaí,  11.654 
2010,Travesseiro,  19.201 
2010,Três Arroios,  13.493 
2010,Três Cachoeiras,  11.326 
2010,Três Coroas,  30.185 
2010,Três de Maio,  17.210 
2010,Três Forquilhas,  9.425 
2010,Três Palmeiras,  14.799 
2010,Três Passos,  15.878 
2010,Trindade do Sul,  13.081 
2010,Triunfo,  219.695 
2010,Tucunduva,  18.436 
2010,Tunas,  9.427 
2010,Tupanci do Sul,  16.230 
2010,Tupanciretã,  24.014 
2010,Tupandi,  46.861 
2010,Tuparendi,  16.126 
2010,Turuçu,  12.198 
2010,Ubiretama,  12.462 
2010,União da Serra,  20.702 
2010,Unistalda,  11.940 
2010,Uruguaiana,  12.099 
2010,Vacaria,  19.802 
2010,Vale Verde,  12.394 
2010,Vale do Sol,  18.977 
2010,Vale Real,  11.482 
2010,Vanini,  15.490 
2010,Venâncio Aires,  26.107 
2010,Vera Cruz,  16.210 
2010,Veranópolis,  26.839 
2010,Vespasiano Correa,  17.490 
2010,Viadutos,  11.072 
2010,Viamão,  8.146 
2010,Vicente Dutra,  8.725 
2010,Victor Graeff,  24.350 
2010,Vila Flores,  27.307 
2010,Vila Lângaro,  20.107 
2010,Vila Maria,  26.953 
2010,Vila Nova do Sul,  11.075 
2010,Vista Alegre,  13.907 
2010,Vista Alegre do Prata,  22.082 
2010,Vista Gaúcha,  13.276 
2010,Vitória das Missões,  11.852 
2010,Westfalia,  23.998 
2010,Xangri-lá,  16.766 
2011,Aceguá,  26.176 
2011,Água Santa,  30.589 
2011,Agudo,  17.003 
2011,Ajuricaba,  26.221 
2011,Alecrim,  9.335 
2011,Alegrete,  14.313 
2011,Alegria,  13.150 
2011,Almirante Tamandaré do Sul,  35.636 
2011,Alpestre,  11.145 
2011,Alto Alegre,  20.415 
2011,Alto Feliz,  13.967 
2011,Alvorada,  7.823 
2011,Amaral Ferrador,  10.039 
2011,Ametista do Sul,  7.750 
2011,André da Rocha,  34.998 
2011,Anta Gorda,  17.697 
2011,Antônio Prado,  21.615 
2011,Arambaré,  16.675 
2011,Araricá,  18.096 
2011,Aratiba,  174.291 
2011,Arroio do Meio,  38.113 
2011,Arroio do Sal,  15.067 
2011,Arroio do Padre,  10.248 
2011,Arroio dos Ratos,  8.262 
2011,Arroio do Tigre,  15.065 
2011,Arroio Grande,  16.065 
2011,Arvorezinha,  13.222 
2011,Augusto Pestana,  23.081 
2011,Áurea,  15.206 
2011,Bagé,  11.975 
2011,Balneário Pinhal,  9.962 
2011,Barão,  22.143 
2011,Barão de Cotegipe,  16.191 
2011,Barão do Triunfo,  10.328 
2011,Barracão,  22.053 
2011,Barra do Guarita,  8.104 
2011,Barra do Quaraí,  21.289 
2011,Barra do Ribeiro,  13.570 
2011,Barra do Rio Azul,  14.603 
2011,Barra Funda,  31.432 
2011,Barros Cassal,  10.563 
2011,Benjamin Constant do Sul,  8.252 
2011,Bento Gonçalves,  36.208 
2011,Boa Vista das Missões,  39.565 
2011,Boa Vista do Buricá,  16.814 
2011,Boa Vista do Cadeado,  49.245 
2011,Boa Vista do Incra,  38.013 
2011,Boa Vista do Sul,  17.341 
2011,Bom Jesus,  16.347 
2011,Bom Princípio,  22.433 
2011,Bom Progresso,  14.009 
2011,Bom Retiro do Sul,  13.389 
2011,Boqueirão do Leão,  12.114 
2011,Bossoroca,  21.853 
2011,Bozano,  21.871 
2011,Braga,  13.798 
2011,Brochier,  11.974 
2011,Butiá,  13.703 
2011,Caçapava do Sul,  13.440 
2011,Cacequi,  12.957 
2011,Cachoeira do Sul,  16.760 
2011,Cachoeirinha,  39.866 
2011,Cacique Doble,  12.661 
2011,Caibaté,  17.418 
2011,Caiçara,  11.604 
2011,Camaquã,  17.557 
2011,Camargo,  22.679 
2011,Cambará do Sul,  17.367 
2011,Campestre da Serra,  20.391 
2011,Campina das Missões,  13.083 
2011,Campinas do Sul,  22.897 
2011,Campo Bom,  29.139 
2011,Campo Novo,  19.404 
2011,Campos Borges,  14.615 
2011,Candelária,  13.836 
2011,Cândido Godói,  19.405 
2011,Candiota,  35.213 
2011,Canela,  13.568 
2011,Canguçu,  9.779 
2011,Canoas,  32.613 
2011,Canudos do Vale,  14.116 
2011,Capão Bonito do Sul,  45.312 
2011,Capão da Canoa,  17.739 
2011,Capão do Cipó,  48.226 
2011,Capão do Leão,  12.196 
2011,Capivari do Sul,  28.623 
2011,Capela de Santana,  8.479 
2011,Capitão,  13.999 
2011,Carazinho,  23.512 
2011,Caraá,  7.097 
2011,Carlos Barbosa,  45.234 
2011,Carlos Gomes,  13.594 
2011,Casca,  27.808 
2011,Caseiros,  16.773 
2011,Catuípe,  21.007 
2011,Caxias do Sul,  42.599 
2011,Centenário,  13.173 
2011,Cerrito,  8.719 
2011,Cerro Branco,  10.997 
2011,Cerro Grande,  13.615 
2011,Cerro Grande do Sul,  9.061 
2011,Cerro Largo,  31.296 
2011,Chapada,  27.502 
2011,Charqueadas,  24.644 
2011,Charrua,  15.934 
2011,Chiapetta,  28.878 
2011,Chuí,  14.045 
2011,Chuvisca,  11.836 
2011,Cidreira,  11.825 
2011,Ciríaco,  19.711 
2011,Colinas,  14.776 
2011,Colorado,  30.795 
2011,Condor,  31.526 
2011,Constantina,  15.633 
2011,Coqueiro Baixo,  16.026 
2011,Coqueiros do Sul,  24.606 
2011,Coronel Barros,  24.298 
2011,Coronel Bicaco,  20.533 
2011,Coronel Pilar,  15.045 
2011,Cotiporã,  17.083 
2011,Coxilha,  41.149 
2011,Crissiumal,  13.865 
2011,Cristal,  13.809 
2011,Cristal do Sul,  11.153 
2011,Cruz Alta,  28.845 
2011,Cruzaltense,  18.856 
2011,Cruzeiro do Sul,  14.700 
2011,David Canabarro,  17.290 
2011,Derrubadas,  16.134 
2011,Dezesseis de Novembro,  8.523 
2011,Dilermando de Aguiar,  19.533 
2011,Dois Irmãos,  36.959 
2011,Dois Irmãos das Missões,  31.810 
2011,Dois Lajeados,  18.569 
2011,Dom Feliciano,  9.726 
2011,Dom Pedro de Alcântara,  12.839 
2011,Dom Pedrito,  16.574 
2011,Dona Francisca,  13.182 
2011,Doutor Maurício Cardoso,  20.731 
2011,Doutor Ricardo,  17.148 
2011,Eldorado do Sul,  21.415 
2011,Encantado,  22.621 
2011,Encruzilhada do Sul,  10.397 
2011,Engenho Velho,  19.095 
2011,Entre-Ijuís,  19.651 
2011,Entre Rios do Sul,  105.940 
2011,Erebango,  21.284 
2011,Erechim,  29.336 
2011,Ernestina,  25.891 
2011,Herval,  8.527 
2011,Erval Grande,  12.798 
2011,Erval Seco,  16.483 
2011,Esmeralda,  30.603 
2011,Esperança do Sul,  13.217 
2011,Espumoso,  23.955 
2011,Estação,  22.237 
2011,Estância Velha,  22.124 
2011,Esteio,  27.370 
2011,Estrela,  33.011 
2011,Estrela Velha,  21.356 
2011,Eugênio de Castro,  41.641 
2011,Fagundes Varela,  17.405 
2011,Farroupilha,  31.446 
2011,Faxinal do Soturno,  22.124 
2011,Faxinalzinho,  14.306 
2011,Fazenda Vilanova,  27.156 
2011,Feliz,  20.984 
2011,Flores da Cunha,  31.871 
2011,Floriano Peixoto,  18.887 
2011,Fontoura Xavier,  11.293 
2011,Formigueiro,  12.637 
2011,Forquetinha,  12.205 
2011,Fortaleza dos Valos,  32.753 
2011,Frederico Westphalen,  21.447 
2011,Garibaldi,  36.514 
2011,Garruchos,  20.487 
2011,Gaurama,  19.320 
2011,General Câmara,  10.749 
2011,Gentil,  36.790 
2011,Getúlio Vargas,  20.469 
2011,Giruá,  26.166 
2011,Glorinha,  43.629 
2011,Gramado,  31.453 
2011,Gramado dos Loureiros,  12.472 
2011,Gramado Xavier,  11.890 
2011,Gravataí,  31.016 
2011,Guabiju,  20.515 
2011,Guaíba,  33.006 
2011,Guaporé,  20.350 
2011,Guarani das Missões,  21.480 
2011,Harmonia,  17.560 
2011,Herveiras,  13.480 
2011,Horizontina,  55.532 
2011,Hulha Negra,  14.301 
2011,Humaitá,  17.938 
2011,Ibarama,  11.871 
2011,Ibiaçá,  24.828 
2011,Ibiraiaras,  20.546 
2011,Ibirapuitã,  15.469 
2011,Ibirubá,  30.923 
2011,Igrejinha,  35.585 
2011,Ijuí,  26.135 
2011,Ilópolis,  16.579 
2011,Imbé,  14.125 
2011,Imigrante,  40.645 
2011,Independência,  20.987 
2011,Inhacorá,  17.469 
2011,Ipê,  18.635 
2011,Ipiranga do Sul,  31.105 
2011,Iraí,  11.043 
2011,Itaara,  11.195 
2011,Itacurubi,  13.665 
2011,Itapuca,  14.972 
2011,Itaqui,  19.078 
2011,Itati,  13.338 
2011,Itatiba do Sul,  9.475 
2011,Ivorá,  14.017 
2011,Ivoti,  27.324 
2011,Jaboticaba,  14.534 
2011,Jacuizinho,  19.587 
2011,Jacutinga,  22.327 
2011,Jaguarão,  11.942 
2011,Jaguari,  12.647 
2011,Jaquirana,  10.258 
2011,Jari,  26.938 
2011,Jóia,  31.702 
2011,Júlio de Castilhos,  26.835 
2011,Lagoa Bonita do Sul,  13.715 
2011,Lagoão,  9.841 
2011,Lagoa dos Três Cantos,  29.981 
2011,Lagoa Vermelha,  22.602 
2011,Lajeado,  32.733 
2011,Lajeado do Bugre,  11.744 
2011,Lavras do Sul,  15.825 
2011,Liberato Salzano,  12.278 
2011,Lindolfo Collor,  28.257 
2011,Linha Nova,  16.001 
2011,Machadinho,  14.373 
2011,Maçambará,  26.880 
2011,Mampituba,  8.689 
2011,Manoel Viana,  16.875 
2011,Maquiné,  9.071 
2011,Maratá,  23.497 
2011,Marau,  37.877 
2011,Marcelino Ramos,  13.222 
2011,Mariana Pimentel,  11.085 
2011,Mariano Moro,  13.035 
2011,Marques de Souza,  13.614 
2011,Mata,  11.988 
2011,Mato Castelhano,  27.356 
2011,Mato Leitão,  30.520 
2011,Mato Queimado,  18.047 
2011,Maximiliano de Almeida,  13.142 
2011,Minas do Leão,  10.971 
2011,Miraguaí,  17.064 
2011,Montauri,  23.525 
2011,Monte Alegre dos Campos,  10.444 
2011,Monte Belo do Sul,  30.825 
2011,Montenegro,  33.013 
2011,Mormaço,  20.507 
2011,Morrinhos do Sul,  11.005 
2011,Morro Redondo,  10.065 
2011,Morro Reuter,  16.629 
2011,Mostardas,  14.417 
2011,Muçum,  40.341 
2011,Muitos Capões,  71.420 
2011,Muliterno,  17.535 
2011,Não-Me-Toque,  47.071 
2011,Nicolau Vergueiro,  32.406 
2011,Nonoai,  18.980 
2011,Nova Alvorada,  25.971 
2011,Nova Araçá,  38.365 
2011,Nova Bassano,  60.458 
2011,Nova Boa Vista,  20.246 
2011,Nova Bréscia,  18.441 
2011,Nova Candelária,  29.430 
2011,Nova Esperança do Sul,  21.185 
2011,Nova Hartz,  38.471 
2011,Nova Pádua,  16.766 
2011,Nova Palma,  20.054 
2011,Nova Petrópolis,  23.797 
2011,Nova Prata,  32.010 
2011,Nova Ramada,  25.886 
2011,Nova Roma do Sul,  21.132 
2011,Nova Santa Rita,  27.975 
2011,Novo Cabrais,  12.437 
2011,Novo Hamburgo,  25.942 
2011,Novo Machado,  17.830 
2011,Novo Tiradentes,  14.793 
2011,Novo Xingu,  16.103 
2011,Novo Barreiro,  11.972 
2011,Osório,  31.884 
2011,Paim Filho,  15.469 
2011,Palmares do Sul,  16.213 
2011,Palmeira das Missões,  23.700 
2011,Palmitinho,  13.608 
2011,Panambi,  31.949 
2011,Pantano Grande,  18.155 
2011,Paraí,  24.265 
2011,Paraíso do Sul,  12.171 
2011,Pareci Novo,  14.665 
2011,Parobé,  15.695 
2011,Passa Sete,  12.075 
2011,Passo do Sobrado,  18.595 
2011,Passo Fundo,  24.990 
2011,Paulo Bento,  24.476 
2011,Paverama,  13.005 
2011,Pedras Altas,  18.762 
2011,Pedro Osório,  10.160 
2011,Pejuçara,  36.069 
2011,Pelotas,  16.014 
2011,Picada Café,  49.604 
2011,Pinhal,  15.908 
2011,Pinhal da Serra,  162.678 
2011,Pinhal Grande,  68.689 
2011,Pinheirinho do Vale,  10.930 
2011,Pinheiro Machado,  13.902 
2011,Pirapó,  11.704 
2011,Piratini,  10.214 
2011,Planalto,  10.102 
2011,Poço das Antas,  13.515 
2011,Pontão,  34.585 
2011,Ponte Preta,  17.185 
2011,Portão,  26.852 
2011,Porto Alegre,  34.172 
2011,Porto Lucena,  11.669 
2011,Porto Mauá,  12.938 
2011,Porto Vera Cruz,  11.701 
2011,Porto Xavier,  8.947 
2011,Pouso Novo,  16.855 
2011,Presidente Lucena,  17.192 
2011,Progresso,  13.376 
2011,Protásio Alves,  15.939 
2011,Putinga,  15.657 
